n,type,rep,greedy_len,greedy_time,christo_len,christo_time,opt_len,opt_time,lb
100,random,14,8.798615,0.001325,8.767320,0.239451,,,6.740637
100,random,15,10.292637,0.001655,8.310725,0.087416,,,6.551463
100,random,16,8.951977,0.001958,8.328386,0.084875,,,6.432014
100,random,17,9.470528,0.001565,8.881405,0.084035,,,6.962999
100,random,18,9.370491,0.001712,8.471672,0.079143,,,6.509311
100,random,19,9.722392,0.001558,8.488678,0.119303,,,6.498292
100,random,20,9.718856,0.001073,8.384407,0.113067,,,6.766424
100,random,21,9.204399,0.001596,8.147131,0.121032,,,6.181797
100,random,22,9.604673,0.001354,8.665910,0.082715,,,6.823923
100,random,23,10.288636,0.001098,8.749105,0.069252,,,6.834492
100,random,24,10.168824,0.001558,8.952745,0.099381,,,7.022577
100,random,25,8.951023,0.001588,9.052891,0.055778,,,6.940948
100,random,26,9.264143,0.001194,8.593636,0.094274,,,6.662838
100,random,27,9.917457,0.001483,8.545835,0.082305,,,6.575180
100,random,28,9.365152,0.001832,8.788740,0.110749,,,6.805437
100,random,29,10.539611,0.001592,8.791976,0.103865,,,6.944784
100,random,30,9.534752,0.001060,8.918155,0.081145,,,6.737656
100,random,31,10.083053,0.001596,9.134771,0.158845,,,6.891695
100,random,32,8.983551,0.001261,8.757683,0.083475,,,6.616367
100,random,33,10.656353,0.001110,8.468012,0.077674,,,6.535390
100,random,34,11.021218,0.001422,8.874752,0.087680,,,6.828088
100,random,35,9.701672,0.001590,9.006346,0.067225,,,7.229308
100,random,36,9.988518,0.001107,8.472145,0.087744,,,6.767216
100,random,37,10.580425,0.001592,8.731974,0.095288,,,6.838415
100,random,38,9.951440,0.001726,8.750748,0.083347,,,6.774404
100,random,39,9.296697,0.001414,8.426464,0.042221,,,6.601251
100,random,40,9.523367,0.001276,8.432208,0.124983,,,6.550082
100,random,41,9.310668,0.001284,8.672596,0.058627,,,6.625086
100,random,42,9.146337,0.001077,8.937860,0.064326,,,6.914608
100,random,43,10.069461,0.001179,9.033544,0.065719,,,6.918550
100,random,44,9.438700,0.001118,8.810860,0.071261,,,6.759774
100,random,45,10.093083,0.001073,8.588163,0.065564,,,6.722061
100,random,46,9.001591,0.001089,8.608774,0.096967,,,6.515759
100,random,47,9.947434,0.001591,9.012893,0.111754,,,6.794080
100,random,48,8.503099,0.001090,8.242946,0.078724,,,6.360435
100,random,49,9.516284,0.001478,8.169306,0.074623,,,6.618644
100,clustered,0,3.970416,0.001766,3.800267,0.075936,,,2.830047
100,clustered,1,3.806942,0.001680,3.398364,0.065812,,,2.342026
100,clustered,2,3.845588,0.001111,3.301987,0.075408,,,2.480216
100,clustered,3,4.585169,0.001038,3.993171,0.053257,,,2.760719
100,clustered,4,4.838530,0.001063,4.136757,0.075666,,,2.758149
100,clustered,5,4.998887,0.001074,4.242395,0.088453,,,2.897609
100,clustered,6,3.587185,0.001100,3.256234,0.072882,,,2.374748
100,clustered,7,4.185947,0.001293,3.296871,0.074571,,,2.427784
100,clustered,8,4.474963,0.001079,4.127710,0.055903,,,2.891626
100,clustered,9,3.205777,0.001062,2.934497,0.094351,,,2.120353
100,clustered,10,2.667754,0.001029,2.322556,0.079266,,,1.774991
100,clustered,11,3.665542,0.001037,3.430580,0.075616,,,2.510471
100,clustered,12,4.525627,0.001063,4.045316,0.108879,,,2.779219
